ID_Factura,ID_Cliente,Fecha_Emisión,Días_Plazo,Fecha_Pago,Días_Mora,Monto
FAC000033,C03526,2025-05-08,30,2025-05-27,0.0,59000
FAC000034,C04603,2025-05-18,90,2025-08-31,15.0,910000
FAC000035,C02780,2025-07-27,45,2025-08-17,0.0,763000
FAC000036,C01163,2024-11-07,15,2024-12-09,17.0,1401000
FAC000037,C04066,2025-08-08,45,,,914000
FAC000038,C04510,2025-07-02,15,2025-08-11,25.0,758000
FAC000039,C00895,2024-11-13,90,,,279000
FAC000040,C02339,2025-01-17,90,,,1641000
FAC000041,C00059,2025-04-07,30,2025-04-20,0.0,1534000
FAC000042,C00368,2024-11-03,30,,,883000
FAC000043,C02656,2024-11-04,15,,,1693000
FAC000044,C04540,2024-11-27,60,,,1166000
FAC000045,C00300,2024-12-25,60,2025-01-03,0.0,1290000
FAC000046,C01434,2025-03-25,60,,,396000
FAC000047,C02887,2025-01-10,90,2025-01-11,0.0,965000
FAC000048,C02103,2025-05-17,60,,,1274000
FAC000049,C00175,2025-02-23,45,2025-04-25,16.0,1591000
FAC000050,C04909,2025-06-05,15,2025-09-12,84.0,365000
FAC000051,C04842,2025-02-26,60,2025-07-27,91.0,1593000
FAC000052,C02746,2025-03-18,45,2025-04-19,0.0,1892000
FAC000053,C00773,2024-10-07,30,2024-12-24,48.0,580000
FAC000054,C04925,2024-11-21,45,2025-06-20,166.0,291000
FAC000055,C00812,2025-08-28,15,2025-09-01,0.0,1737000
FAC000056,C04647,2025-03-31,45,2025-06-12,28.0,1462000
FAC000057,C00474,2025-05-27,15,2025-09-04,85.0,1241000
FAC000058,C01680,2025-07-05,30,2025-08-02,0.0,412000
FAC000059,C00499,2025-01-27,60,,,1097000
FAC000060,C03232,2025-07-19,60,2025-07-24,0.0,114000
FAC000061,C02762,2024-12-30,15,2025-06-10,147.0,1354000
FAC000062,C01920,2025-07-16,45,,,82000
FAC000063,C00423,2025-06-27,45,2025-08-03,0.0,1437000
FAC000064,C00225,2025-04-23,15,2025-05-22,14.0,1094000
FAC000065,C02138,2025-04-05,30,2025-09-21,139.0,613000
FAC000066,C02917,2024-11-27,45,,,508000
FAC000067,C02283,2025-05-14,60,2025-08-03,21.0,725000
FAC000068,C04374,2024-10-02,45,2025-02-26,102.0,116000
FAC000069,C00926,2025-02-02,30,2025-02-18,0.0,1157000
FAC000070,C04832,2025-06-07,90,,,1196000
FAC000071,C01319,2025-09-13,45,2025-09-13,0.0,604000
FAC000072,C04067,2024-10-22,90,2025-08-23,215.0,370000
FAC000073,C04047,2025-08-26,15,2025-08-31,0.0,1873000
FAC000074,C02200,2024-10-14,30,,,55000
FAC000075,C02693,2025-02-21,60,2025-08-24,124.0,242000
FAC000076,C01828,2025-08-08,90,2025-08-16,0.0,1174000
FAC000077,C01715,2024-11-18,90,2025-07-09,143.0,108000
FAC000078,C04110,2025-08-10,30,,,1714000
FAC000079,C03025,2025-01-05,90,,,1591000
FAC000080,C02892,2025-05-23,60,,,411000
FAC000081,C03977,2025-07-10,90,2025-09-24,0.0,1186000
FAC000082,C00424,2024-12-10,15,2024-12-27,2.0,1314000
FAC000083,C00426,2025-08-26,45,,,218000
FAC000084,C02218,2024-10-30,30,2025-01-27,59.0,681000
FAC000085,C03490,2025-07-31,45,,,331000
FAC000086,C04721,2024-12-10,45,2025-07-19,176.0,2000000
FAC000087,C01941,2025-02-11,60,2025-08-29,139.0,1030000
FAC000088,C00546,2025-08-10,15,2025-08-13,0.0,385000
FAC000089,C01622,2025-01-14,60,2025-07-15,122.0,1172000
FAC000090,C01949,2024-11-09,30,2025-07-17,220.0,1154000
FAC000091,C00751,2025-07-18,30,,,1827000
FAC000092,C00548,2025-01-18,45,2025-03-16,12.0,952000
FAC000093,C04359,2025-05-16,90,2025-07-29,0.0,1508000
FAC000094,C03089,2024-11-29,60,2025-02-08,11.0,1244000
FAC000095,C01917,2025-03-25,90,,,1043000
FAC000096,C04119,2025-09-09,90,2025-09-18,0.0,892000
FAC000097,C00572,2025-01-12,15,,,911000
FAC000098,C04718,2025-07-23,45,2025-09-26,20.0,1598000
FAC000099,C04512,2024-11-02,90,2025-01-06,0.0,587000
FAC000100,C01689,2024-10-21,45,2025-05-24,170.0,1887000
FAC000101,C04809,2025-04-06,90,,,345000
FAC000102,C02200,2025-08-08,45,2025-09-17,0.0,1357000
FAC000103,C00323,2025-08-25,15,,,398000
FAC000104,C01500,2025-08-21,15,2025-09-20,15.0,1822000
FAC000105,C01434,2025-03-11,90,,,1169000
FAC000106,C00562,2025-03-03,60,2025-08-19,109.0,649000
FAC000107,C03690,2025-03-01,45,,,1209000
FAC000108,C00957,2025-07-07,45,2025-07-12,0.0,1256000
FAC000109,C03930,2025-06-27,90,2025-07-19,0.0,944000
FAC000110,C00803,2024-10-25,30,2025-01-31,68.0,1374000
FAC000111,C04999,2025-08-26,30,2025-09-21,0.0,752000
FAC000112,C02992,2025-03-22,15,2025-06-15,70.0,1018000
FAC000113,C00266,2024-11-23,90,2025-04-09,47.0,413000
FAC000114,C02788,2025-08-29,15,2025-09-14,1.0,126000
FAC000115,C03021,2025-06-02,60,2025-09-14,44.0,826000
FAC000116,C02372,2024-12-03,15,,,585000
FAC000117,C03719,2025-05-22,90,2025-09-04,15.0,137000
FAC000118,C04875,2024-11-04,90,2024-12-01,0.0,1626000
FAC000119,C00886,2025-07-11,45,2025-08-29,4.0,659000
FAC000120,C03690,2025-05-30,30,,,1712000
FAC000121,C00270,2025-06-12,45,2025-08-19,23.0,1663000
FAC000122,C00458,2025-06-08,60,,,1918000
FAC000123,C03200,2025-04-03,45,2025-08-28,102.0,1352000
FAC000124,C00724,2025-06-11,30,,,1017000
FAC000125,C02951,2025-07-26,60,,,462000
FAC000126,C00480,2025-02-04,90,2025-04-24,0.0,659000
FAC000127,C02880,2025-04-23,30,2025-08-12,81.0,1457000
FAC000128,C03802,2025-08-01,60,2025-09-10,0.0,1900000
FAC000129,C02837,2025-01-17,15,2025-09-17,228.0,338000
FAC000130,C02510,2024-10-13,15,2024-11-29,32.0,1655000
FAC000131,C04229,2025-06-04,90,2025-08-09,0.0,59000
FAC000132,C03869,2025-01-18,30,2025-08-29,193.0,1513000
FAC000133,C03546,2025-06-30,15,2025-07-18,3.0,972000
FAC000134,C03092,2024-11-25,45,2024-11-28,0.0,203000
FAC000135,C00198,2024-10-21,45,2025-04-07,123.0,746000
FAC000136,C04588,2025-06-05,45,,,330000
FAC000137,C02278,2024-11-11,30,2024-12-03,0.0,891000
FAC000138,C01158,2025-04-03,15,,,1864000
FAC000139,C04367,2024-11-22,30,2025-07-06,196.0,1956000
FAC000140,C02221,2025-05-06,90,2025-07-29,0.0,528000
FAC000141,C03056,2024-11-02,45,2025-05-17,151.0,437000
FAC000142,C00714,2025-06-12,45,2025-07-30,3.0,358000
FAC000143,C04786,2025-06-17,15,,,569000
FAC000144,C00235,2025-02-22,15,2025-04-06,28.0,789000
FAC000145,C00525,2025-02-27,60,2025-04-18,0.0,315000
FAC000146,C01828,2025-01-01,15,,,1293000
FAC000147,C02227,2025-03-25,60,2025-05-20,0.0,1602000
FAC000148,C00854,2024-11-01,90,,,1803000
FAC000149,C02852,2025-08-09,30,2025-09-08,0.0,712000
FAC000150,C04205,2025-04-13,15,2025-06-25,58.0,1297000
FAC000151,C00714,2024-10-16,30,2025-06-20,217.0,300000
FAC000152,C03781,2025-03-03,90,2025-07-11,40.0,955000
FAC000153,C03021,2024-12-10,15,2025-01-21,27.0,1439000
FAC000154,C00909,2024-12-21,60,2025-02-01,0.0,1581000
FAC000155,C03744,2025-06-10,60,2025-09-02,24.0,1074000
FAC000156,C02934,2025-08-18,60,2025-09-23,0.0,1197000
FAC000157,C01244,2025-01-17,60,2025-09-17,183.0,1089000
FAC000158,C00198,2024-10-24,45,2025-05-28,171.0,1042000
FAC000159,C02387,2025-03-21,45,2025-08-24,111.0,1422000
FAC000160,C00725,2025-06-07,30,2025-08-16,40.0,1069000
FAC000161,C01230,2025-02-15,45,,,669000
FAC000162,C04410,2025-07-14,45,2025-09-13,16.0,732000
FAC000163,C02017,2025-05-31,90,2025-09-28,30.0,667000
FAC000164,C03664,2024-09-29,60,,,754000
FAC000165,C04268,2024-09-28,90,2025-03-27,90.0,346000
FAC000166,C00961,2024-11-10,30,,,62000
FAC000167,C00646,2025-09-14,90,2025-09-19,0.0,1369000
FAC000168,C04016,2024-12-29,90,,,1772000
FAC000169,C04383,2025-02-01,30,2025-09-27,208.0,1667000
FAC000170,C00607,2025-05-26,45,2025-06-02,0.0,448000
FAC000171,C02992,2024-12-11,60,,,1413000
FAC000172,C01724,2025-09-12,90,2025-09-18,0.0,602000
FAC000173,C04049,2025-02-26,15,2025-02-26,0.0,1174000
FAC000174,C02623,2025-08-31,45,2025-09-07,0.0,64000
FAC000175,C00450,2025-03-11,90,2025-07-07,28.0,385000
FAC000176,C02958,2025-01-19,90,2025-03-18,0.0,881000
FAC000177,C03664,2025-07-20,30,2025-07-24,0.0,621000
FAC000178,C02397,2025-05-21,60,2025-06-28,0.0,846000
FAC000179,C04483,2025-08-31,60,2025-09-24,0.0,1980000
FAC000180,C03140,2025-08-18,45,2025-09-19,0.0,152000
FAC000181,C04809,2025-07-11,15,2025-09-02,38.0,1906000
FAC000182,C00426,2025-03-06,45,,,717000
FAC000183,C03827,2025-07-31,90,2025-08-29,0.0,1531000
FAC000184,C03050,2025-06-01,60,2025-06-15,0.0,1404000
FAC000185,C01009,2025-05-18,30,,,148000
FAC000186,C02912,2024-11-23,90,2024-12-26,0.0,948000
FAC000187,C01949,2025-02-21,15,,,226000
FAC000188,C03151,2025-08-20,15,,,929000
FAC000189,C04989,2024-11-24,30,2025-02-26,64.0,1102000
FAC000190,C02761,2024-11-24,15,,,1169000
FAC000191,C00168,2025-06-10,15,2025-08-29,65.0,1437000
FAC000192,C02957,2025-06-21,90,2025-07-08,0.0,437000
FAC000193,C04583,2025-05-28,60,2025-07-31,4.0,1228000
FAC000194,C00812,2024-12-14,90,2025-04-17,34.0,1318000
FAC000195,C00856,2025-05-07,60,2025-09-21,77.0,1903000
FAC000196,C03196,2024-12-17,30,2024-12-24,0.0,1516000
FAC000197,C04544,2025-09-16,30,2025-09-23,0.0,1941000
FAC000198,C03369,2025-01-29,15,2025-07-09,146.0,322000
FAC000199,C03547,2024-12-27,15,2025-02-17,37.0,1718000
FAC000200,C00262,2025-05-26,30,,,454000
FAC000201,C02353,2025-01-19,90,,,1723000
FAC000202,C04129,2025-04-05,30,2025-04-24,0.0,1430000
FAC000203,C02180,2025-07-11,30,2025-09-23,44.0,160000
FAC000204,C03128,2025-04-21,30,2025-05-19,0.0,1682000
FAC000205,C02398,2025-01-12,15,2025-07-31,185.0,141000
FAC000206,C00214,2025-03-06,90,,,959000
FAC000207,C01854,2025-07-26,15,2025-09-13,34.0,351000
FAC000208,C01478,2025-07-19,90,2025-09-05,0.0,185000
FAC000209,C04421,2025-07-10,90,,,1870000
FAC000210,C00785,2024-09-29,30,2025-05-29,212.0,360000
FAC000211,C01205,2025-08-26,30,2025-09-24,0.0,1335000
FAC000212,C04015,2024-12-25,45,2024-12-27,0.0,1652000
FAC000213,C03235,2025-06-19,15,2025-07-07,3.0,586000
FAC000214,C01660,2025-02-15,60,2025-07-04,79.0,182000
FAC000215,C00307,2025-01-11,15,,,1634000
FAC000216,C02971,2025-01-02,30,2025-08-04,184.0,615000
FAC000217,C03845,2025-08-31,30,2025-09-06,0.0,137000
FAC000218,C03592,2025-02-19,45,,,1370000
FAC000219,C01914,2025-09-10,30,2025-09-28,0.0,1879000
FAC000220,C02822,2025-07-15,45,2025-09-10,12.0,1760000
FAC000221,C03502,2025-05-21,45,2025-06-04,0.0,1191000
FAC000222,C03815,2025-06-09,60,2025-07-27,0.0,161000
FAC000223,C03427,2024-11-28,45,,,1936000
FAC000224,C00075,2025-05-09,90,,,148000
FAC000225,C01424,2024-09-28,45,2025-02-06,86.0,668000
FAC000226,C04585,2025-08-15,45,2025-09-26,0.0,1367000
FAC000227,C04255,2025-05-10,30,2025-09-21,104.0,1409000
FAC000228,C03296,2024-12-02,45,2025-07-01,166.0,1871000
FAC000229,C04458,2025-03-06,15,2025-03-12,0.0,1065000
FAC000230,C00626,2025-08-20,45,,,1237000
FAC000231,C00356,2025-09-02,15,,,504000
FAC000232,C03997,2025-05-08,60,2025-07-17,10.0,502000
FAC000233,C00389,2025-01-03,90,2025-02-11,0.0,469000
FAC000234,C00522,2025-06-29,60,2025-09-23,26.0,1823000
FAC000235,C01812,2025-06-05,60,2025-08-31,27.0,1153000
FAC000236,C03558,2025-09-16,90,2025-09-26,0.0,1577000
FAC000237,C02883,2025-01-01,60,,,66000
FAC000238,C01718,2024-12-20,45,2025-03-19,44.0,1977000
FAC000239,C01061,2025-03-05,30,2025-04-15,11.0,1507000
FAC000240,C04380,2024-11-18,90,2025-05-30,103.0,794000
FAC000241,C00597,2024-10-14,15,2024-12-26,58.0,1642000
FAC000242,C02491,2025-05-04,90,,,201000
FAC000243,C04980,2025-02-28,15,2025-07-22,129.0,306000
FAC000244,C02107,2025-02-06,45,2025-06-06,75.0,824000
FAC000245,C03693,2025-02-13,60,,,1744000
FAC000246,C01065,2025-02-05,30,2025-06-12,97.0,1771000
FAC000247,C01324,2025-03-13,15,2025-08-17,142.0,282000
FAC000248,C04174,2025-08-22,15,2025-09-15,9.0,224000
FAC000249,C01870,2024-11-29,60,2024-12-17,0.0,451000
FAC000250,C00087,2025-02-11,15,,,57000
FAC000251,C02509,2024-10-31,45,2025-04-05,111.0,1020000
FAC000252,C02845,2025-06-17,30,,,1625000
FAC000253,C02746,2025-06-20,60,2025-07-21,0.0,1553000
FAC000254,C03139,2025-08-06,30,,,1901000
FAC000255,C00586,2025-08-06,30,2025-08-26,0.0,1570000
FAC000256,C00672,2025-02-21,15,2025-07-07,121.0,1645000
FAC000257,C03592,2025-06-23,45,2025-07-24,0.0,1629000
FAC000258,C04046,2025-02-06,60,2025-04-24,17.0,109000
FAC000259,C00004,2024-11-22,60,2025-06-18,148.0,896000
FAC000260,C00535,2025-02-04,15,,,288000
FAC000261,C04044,2024-11-10,45,,,1338000
FAC000262,C00751,2025-07-03,90,,,1828000
FAC000263,C04718,2025-01-29,90,,,1560000
FAC000264,C00801,2024-11-23,60,,,187000
FAC000265,C03809,2024-11-18,60,2025-02-05,19.0,922000
FAC000266,C03296,2025-01-23,90,,,197000
FAC000267,C02892,2025-07-10,90,2025-08-24,0.0,877000
FAC000268,C04909,2024-10-12,30,,,1999000
FAC000269,C00859,2025-03-06,30,2025-09-09,157.0,776000
FAC000270,C04174,2024-10-19,15,,,873000
FAC000271,C04498,2025-01-22,90,2025-08-16,116.0,1901000
FAC000272,C00607,2025-06-22,15,,,507000
FAC000273,C04302,2025-01-18,15,,,1145000
FAC000274,C00747,2024-12-20,45,,,1497000
FAC000275,C04909,2025-03-12,30,2025-08-18,129.0,716000
FAC000276,C01246,2025-06-05,15,,,1094000
FAC000277,C02372,2025-03-08,90,,,245000
FAC000278,C01158,2025-01-12,30,,,1079000
FAC000279,C04950,2025-01-17,30,2025-04-12,55.0,1091000
FAC000280,C02526,2025-08-25,60,,,1138000
FAC000281,C01932,2025-04-17,30,,,483000
FAC000282,C04736,2024-11-30,45,,,106000
FAC000283,C00195,2025-04-04,45,2025-06-25,37.0,1094000
FAC000284,C00397,2025-09-18,90,2025-09-18,0.0,829000
FAC000285,C03794,2025-07-24,90,2025-08-18,0.0,794000
FAC000286,C00577,2025-06-05,90,,,337000
FAC000287,C03207,2025-07-30,60,2025-08-23,0.0,812000
FAC000288,C00898,2024-10-14,30,2025-08-20,280.0,1993000
FAC000289,C04879,2025-01-14,60,2025-05-12,58.0,1300000
FAC000290,C00690,2025-02-21,90,2025-09-17,118.0,262000
FAC000291,C04680,2025-04-27,30,,,120000
FAC000292,C02908,2025-05-06,90,,,1236000
FAC000293,C00933,2025-05-21,30,,,283000
FAC000294,C04567,2024-12-26,15,2025-04-27,107.0,520000
FAC000295,C01702,2025-08-03,45,,,1206000
FAC000296,C04152,2024-11-10,90,2025-07-31,173.0,1713000
FAC000297,C03947,2024-09-30,15,,,656000
FAC000298,C01524,2024-11-23,15,,,145000
FAC000299,C00124,2025-07-24,15,,,1994000
FAC000300,C02725,2025-02-26,90,2025-08-10,75.0,153000
FAC000301,C01325,2025-06-14,60,2025-07-30,0.0,1091000
FAC000302,C00348,2025-06-26,90,,,1368000
FAC000303,C03742,2025-02-07,45,2025-08-18,147.0,82000
FAC000304,C02852,2025-05-09,90,2025-06-29,0.0,1235000
FAC000305,C01144,2025-03-18,45,2025-06-05,34.0,1425000
FAC000306,C02346,2025-07-08,45,2025-08-10,0.0,794000
FAC000307,C03979,2025-03-01,60,,,1405000
FAC000308,C04585,2024-10-19,45,2025-05-09,157.0,1167000
FAC000309,C00265,2024-11-12,30,2025-06-28,198.0,806000
FAC000310,C00886,2024-11-16,90,,,1097000
FAC000311,C03375,2025-04-12,60,2025-04-16,0.0,859000
FAC000312,C04887,2025-07-08,45,2025-07-30,0.0,387000
FAC000313,C03655,2025-08-10,15,2025-09-03,9.0,767000
FAC000314,C04309,2024-11-26,60,,,998000
FAC000315,C04868,2025-09-04,60,2025-09-27,0.0,1597000
FAC000316,C00056,2025-05-04,30,2025-06-15,12.0,92000
FAC000317,C04320,2025-02-06,30,2025-04-01,24.0,602000
FAC000318,C01346,2025-05-12,30,2025-06-08,0.0,1809000
FAC000319,C02919,2025-01-09,45,2025-03-24,29.0,1009000
FAC000320,C00714,2025-06-11,60,2025-06-17,0.0,1788000
FAC000321,C01622,2024-12-06,90,2025-03-19,13.0,1409000
FAC000322,C02445,2024-11-12,60,,,1828000
FAC000323,C03431,2025-06-13,60,2025-06-30,0.0,1946000
FAC000324,C00480,2025-01-30,60,2025-09-15,168.0,1818000
FAC000325,C00032,2025-03-27,90,,,1145000
FAC000326,C03898,2025-03-23,15,2025-09-05,151.0,1306000
FAC000327,C02895,2025-08-15,45,,,1391000
FAC000328,C00812,2025-01-02,45,2025-03-22,34.0,1810000
FAC000329,C04559,2025-08-27,45,,,1078000
FAC000330,C00725,2025-03-19,90,2025-07-20,33.0,672000
FAC000331,C01245,2024-11-24,30,2025-07-26,214.0,738000
FAC000332,C04800,2025-06-28,90,,,152000
FAC000333,C02357,2025-06-24,90,2025-07-02,0.0,957000
FAC000334,C04567,2025-01-13,60,2025-08-28,167.0,845000
FAC000335,C03930,2025-03-25,30,2025-07-08,75.0,1537000
FAC000336,C03602,2025-01-01,15,,,1877000
FAC000337,C01223,2025-01-17,30,2025-09-04,200.0,477000
FAC000338,C02007,2025-03-21,45,2025-06-02,28.0,311000
FAC000339,C01177,2025-01-27,15,,,1328000
FAC000340,C04685,2025-07-19,15,2025-09-16,44.0,216000
FAC000341,C00531,2025-05-16,15,2025-07-01,31.0,445000
FAC000342,C04520,2025-09-16,60,2025-09-25,0.0,1859000
FAC000343,C00433,2025-02-27,90,,,639000
FAC000344,C01562,2024-11-27,60,2025-04-28,92.0,79000
FAC000345,C04160,2025-03-01,45,2025-08-13,120.0,1864000
FAC000346,C04230,2025-01-02,60,2025-05-24,82.0,104000
FAC000347,C02530,2025-09-06,30,,,1016000
FAC000348,C03401,2025-07-28,45,2025-09-24,13.0,1157000
FAC000349,C01279,2025-04-13,15,2025-09-27,152.0,1157000
FAC000350,C00180,2025-01-20,90,2025-09-11,144.0,1730000
FAC000351,C04163,2025-08-19,60,,,388000
FAC000352,C02407,2025-04-25,45,,,559000
FAC000353,C00417,2024-11-24,45,,,736000
FAC000354,C02329,2025-03-03,45,,,1634000
FAC000355,C00803,2025-09-04,60,2025-09-15,0.0,1014000
FAC000356,C03546,2025-03-23,90,,,1929000
FAC000357,C02521,2024-11-17,45,,,484000
FAC000358,C02387,2024-12-18,60,,,1227000
FAC000359,C03784,2025-06-21,60,2025-07-29,0.0,463000
FAC000360,C01763,2025-01-21,60,2025-06-14,84.0,1640000
FAC000361,C04010,2025-03-26,90,,,1082000
FAC000362,C00829,2025-01-23,30,,,151000
FAC000363,C01914,2025-05-08,60,2025-09-21,76.0,661000
FAC000364,C00777,2025-01-24,60,2025-03-06,0.0,158000
FAC000365,C03025,2025-03-10,30,2025-07-17,99.0,1155000
FAC000366,C03954,2025-06-27,15,,,1671000
FAC000367,C04823,2025-01-26,45,,,1838000
FAC000368,C03911,2025-09-01,30,,,395000
FAC000369,C02219,2025-02-28,60,2025-08-21,114.0,339000
FAC000370,C03092,2025-04-22,90,2025-04-26,0.0,1523000
FAC000371,C00772,2025-02-03,30,2025-05-28,84.0,871000
FAC000372,C01554,2024-12-16,30,,,1604000
FAC000373,C01979,2025-08-07,60,2025-09-24,0.0,1843000
FAC000374,C02839,2025-04-16,90,2025-06-04,0.0,422000
FAC000375,C03383,2025-03-17,60,2025-07-08,53.0,814000
FAC000376,C01499,2024-10-23,60,2024-12-24,2.0,643000
FAC000377,C00801,2025-07-11,45,,,1458000
FAC000378,C00886,2024-11-18,90,2025-03-02,14.0,1855000
FAC000379,C02120,2025-09-03,60,2025-09-19,0.0,1964000
FAC000380,C02671,2024-10-09,45,2025-08-22,272.0,788000
FAC000381,C03507,2025-04-10,30,,,1243000
FAC000382,C03904,2024-10-24,90,2025-05-22,120.0,1874000
FAC000383,C02218,2024-11-07,15,,,269000
FAC000384,C02489,2025-07-04,30,2025-08-14,11.0,684000
FAC000385,C02011,2024-10-21,30,2025-06-03,195.0,1062000
FAC000386,C02063,2025-06-22,15,2025-09-10,65.0,501000
FAC000387,C02620,2024-10-06,15,2024-12-18,58.0,1379000
FAC000388,C04795,2025-04-26,90,2025-06-07,0.0,974000
FAC000389,C03620,2025-05-15,60,,,551000
FAC000390,C03134,2024-11-17,60,2025-02-16,31.0,1100000
FAC000391,C03356,2025-04-25,30,,,1378000
FAC000392,C03675,2025-02-19,30,2025-07-01,102.0,1940000
FAC000393,C02983,2024-10-03,15,2024-11-07,20.0,587000
FAC000394,C03445,2025-07-17,60,2025-08-25,0.0,1782000
FAC000395,C01071,2024-12-28,60,2025-07-27,151.0,1518000
FAC000396,C03254,2024-12-02,90,,,399000
FAC000397,C02407,2025-02-04,90,2025-02-26,0.0,281000
FAC000398,C01653,2025-02-21,15,,,666000
FAC000399,C03285,2025-07-04,60,2025-08-17,0.0,658000
FAC000400,C01961,2025-02-06,90,2025-05-07,0.0,1052000
FAC000401,C04917,2025-09-15,15,2025-09-24,0.0,218000
FAC000402,C03793,2025-03-10,90,,,1063000
FAC000403,C00656,2025-03-07,90,,,272000
FAC000404,C02454,2025-05-26,30,,,1016000
FAC000405,C00724,2025-01-09,15,,,1776000
FAC000406,C01063,2025-01-07,15,2025-04-02,70.0,1610000
FAC000407,C01990,2025-06-10,90,2025-08-04,0.0,1769000
FAC000408,C00441,2025-02-28,45,2025-03-25,0.0,1344000
FAC000409,C02174,2025-05-01,30,2025-06-17,17.0,303000
FAC000410,C04412,2025-04-07,15,2025-04-28,6.0,508000
FAC000411,C03887,2025-03-31,45,,,1251000
FAC000412,C04428,2024-10-10,60,,,959000
FAC000413,C00023,2025-07-21,90,2025-08-01,0.0,698000
FAC000414,C03999,2024-11-20,45,2025-09-10,249.0,471000
FAC000415,C01832,2025-04-05,45,2025-06-26,37.0,1221000
FAC000416,C04129,2025-05-03,45,2025-07-27,40.0,1641000
FAC000417,C02125,2024-11-05,15,2025-09-11,295.0,615000
FAC000418,C00363,2024-10-22,60,2024-12-10,0.0,652000
FAC000419,C04950,2024-11-22,45,2025-08-30,236.0,1887000
FAC000420,C04310,2025-06-14,45,,,701000
FAC000421,C03204,2025-01-17,15,2025-04-28,86.0,1760000
FAC000422,C01531,2025-07-22,60,2025-07-26,0.0,52000
FAC000423,C01144,2025-04-10,30,2025-06-23,44.0,1562000
FAC000424,C04706,2024-12-27,60,,,703000
FAC000425,C01606,2025-03-21,30,2025-06-23,64.0,1106000
FAC000426,C01219,2025-08-03,60,2025-08-25,0.0,1521000
FAC000427,C02739,2025-07-27,15,,,680000
FAC000428,C04440,2024-10-21,15,2025-08-28,296.0,111000
FAC000429,C04685,2025-02-23,15,2025-09-01,175.0,1255000
FAC000430,C01442,2025-08-09,60,,,584000
FAC000431,C02286,2025-07-30,45,2025-08-21,0.0,1230000
FAC000432,C00459,2025-01-01,90,,,692000
FAC000433,C02610,2024-12-30,60,2025-08-01,154.0,208000
FAC000434,C03559,2024-12-23,30,2025-02-08,17.0,1943000
FAC000435,C02218,2025-01-26,15,2025-05-27,106.0,1858000
FAC000436,C02852,2024-10-01,90,2025-08-21,234.0,388000
FAC000437,C02971,2025-02-28,15,2025-06-03,80.0,1992000
FAC000438,C01854,2025-03-06,45,2025-08-14,116.0,625000
FAC000439,C00909,2025-08-12,30,2025-09-13,2.0,1565000
FAC000440,C01027,2025-07-03,45,2025-09-03,17.0,1230000
FAC000441,C02007,2025-04-28,45,,,1581000
FAC000442,C04604,2024-12-27,90,2025-09-05,162.0,1726000
FAC000443,C04160,2025-05-17,45,2025-06-22,0.0,679000
FAC000444,C04893,2024-12-12,90,2025-02-28,0.0,1202000
FAC000445,C02746,2025-01-30,60,2025-05-12,42.0,1221000
FAC000446,C03473,2024-12-05,30,,,1580000
FAC000447,C01061,2025-06-15,45,,,1132000
FAC000448,C01479,2025-01-06,60,,,528000
FAC000449,C03454,2025-04-23,60,2025-08-19,58.0,921000
FAC000450,C00690,2025-04-30,30,,,1428000
FAC000451,C04132,2025-06-05,45,2025-09-08,50.0,50000
FAC000452,C02398,2025-05-27,15,2025-09-28,109.0,537000
FAC000453,C03134,2025-05-27,45,2025-09-15,66.0,1613000
