ID_Transacción,ID_Cliente,ID_Tienda,SKU,Cantidad,Precio_Unitario,Fecha,Total
TRX0000073,C02207,T021,P00130,1,128600,2023-10-10,128600
TRX0000074,C01579,T023,P00155,3,270700,2024-07-23,812100
TRX0000075,C03049,T019,P00058,2,254300,2025-08-26,508600
TRX0000076,C04190,T020,P00221,5,36300,2024-07-03,181500
TRX0000077,C01344,T014,P00191,4,57000,2025-08-04,228000
TRX0000078,C01258,T011,P00167,4,15100,2025-05-22,60400
TRX0000079,C03553,T013,P00272,5,78800,2024-11-06,394000
TRX0000080,C00213,T020,P00184,2,329900,2025-07-09,659800
TRX0000081,C02028,T003,P00227,5,109700,2024-06-10,548500
TRX0000082,C02213,T004,P00271,5,313300,2023-10-11,1566500
TRX0000083,C04354,T004,P00065,5,8300,2024-02-14,41500
TRX0000084,C04493,T014,P00050,1,15300,2025-02-04,15300
TRX0000085,C00541,T011,P00295,3,28700,2024-10-24,86100
TRX0000086,C00729,T012,P00245,1,303100,2023-12-19,303100
TRX0000087,C02733,T025,P00162,3,229900,2025-05-31,689700
TRX0000088,C02239,T005,P00286,5,149100,2024-01-04,745500
TRX0000089,C01850,T009,P00239,5,19900,2024-08-21,99500
TRX0000090,C00081,T004,P00042,4,88200,2024-12-02,352800
TRX0000091,C03090,T008,P00051,3,11700,2024-05-28,35100
TRX0000092,C03102,T004,P00106,5,230100,2024-11-22,1150500
TRX0000093,C01012,T006,P00072,3,156400,2024-08-24,469200
TRX0000094,C04313,T024,P00293,4,168100,2025-03-11,672400
TRX0000095,C02512,T019,P00213,3,14200,2024-11-25,42600
TRX0000096,C04011,T004,P00133,5,279900,2024-07-04,1399500
TRX0000097,C04334,T012,P00188,4,19500,2025-05-20,78000
TRX0000098,C04688,T010,P00264,5,131600,2024-04-25,658000
TRX0000099,C04519,T009,P00281,5,268800,2023-10-29,1344000
TRX0000100,C04977,T004,P00014,4,56400,2024-11-29,225600
TRX0000101,C00393,T006,P00040,4,129600,2025-01-09,518400
TRX0000102,C02606,T025,P00268,5,248400,2024-10-27,1242000
TRX0000103,C03192,T006,P00126,4,114700,2025-08-16,458800
TRX0000104,C02828,T024,P00110,1,257200,2025-07-27,257200
TRX0000105,C04356,T018,P00125,4,417800,2024-12-18,1671200
TRX0000106,C04872,T013,P00251,3,310800,2025-06-01,932400
TRX0000107,C03907,T019,P00262,4,409700,2025-01-22,1638800
TRX0000108,C01046,T009,P00153,3,312400,2023-11-05,937200
TRX0000109,C00078,T022,P00268,1,248400,2024-04-22,248400
TRX0000110,C04208,T023,P00105,2,6200,2023-11-15,12400
TRX0000111,C01274,T022,P00206,1,88000,2023-10-20,88000
TRX0000112,C01036,T005,P00246,5,183700,2024-01-05,918500
TRX0000113,C03104,T019,P00062,4,64200,2025-05-17,256800
TRX0000114,C02191,T002,P00210,5,237500,2024-08-22,1187500
TRX0000115,C03033,T023,P00144,5,192800,2024-09-29,964000
TRX0000116,C02041,T022,P00165,3,101800,2025-06-30,305400
TRX0000117,C04987,T014,P00280,1,138600,2025-06-01,138600
TRX0000118,C03751,T006,P00175,3,102700,2025-02-03,308100
TRX0000119,C03596,T012,P00016,4,231400,2025-01-11,925600
TRX0000120,C03840,T017,P00144,1,192800,2023-11-24,192800
TRX0000121,C02350,T009,P00268,4,248400,2023-11-08,993600
TRX0000122,C03505,T017,P00163,3,376600,2025-07-20,1129800
TRX0000123,C01875,T010,P00244,5,22900,2025-07-29,114500
TRX0000124,C00713,T010,P00128,2,55500,2024-08-30,111000
TRX0000125,C03331,T025,P00032,4,324200,2024-04-08,1296800
TRX0000126,C02562,T003,P00140,1,194400,2025-02-04,194400
TRX0000127,C00652,T003,P00021,4,59400,2025-01-08,237600
TRX0000128,C01967,T003,P00248,5,141100,2025-07-18,705500
TRX0000129,C01353,T019,P00086,2,155700,2025-06-15,311400
TRX0000130,C00471,T003,P00296,1,29600,2023-12-16,29600
TRX0000131,C02342,T018,P00255,1,307200,2024-10-30,307200
TRX0000132,C04038,T001,P00141,5,222700,2025-03-11,1113500
TRX0000133,C03474,T022,P00196,3,254900,2025-06-17,764700
TRX0000134,C04168,T024,P00291,5,141200,2023-11-07,706000
TRX0000135,C01118,T016,P00219,1,19000,2024-06-05,19000
TRX0000136,C04079,T017,P00114,2,403900,2025-08-29,807800
TRX0000137,C04362,T023,P00087,2,131400,2024-04-12,262800
TRX0000138,C01022,T013,P00067,2,52900,2024-12-21,105800
TRX0000139,C00114,T020,P00079,5,148700,2024-02-07,743500
TRX0000140,C01558,T024,P00236,2,13200,2025-04-18,26400
TRX0000141,C00060,T023,P00070,4,97400,2023-10-08,389600
TRX0000142,C03482,T023,P00118,2,93100,2023-11-14,186200
TRX0000143,C04378,T024,P00199,4,261200,2024-09-21,1044800
TRX0000144,C02827,T008,P00175,2,102700,2024-10-21,205400
TRX0000145,C04327,T022,P00111,4,167300,2024-07-10,669200
TRX0000146,C04991,T002,P00130,3,128600,2023-10-20,385800
TRX0000147,C04976,T015,P00110,3,257200,2023-11-24,771600
TRX0000148,C01381,T022,P00096,5,33900,2023-10-15,169500
TRX0000149,C04289,T008,P00083,1,36900,2025-08-14,36900
TRX0000150,C01433,T003,P00079,2,148700,2024-06-02,297400
TRX0000151,C03007,T005,P00148,4,62200,2025-03-18,248800
TRX0000152,C04209,T012,P00096,1,33900,2023-12-11,33900
TRX0000153,C00418,T014,P00239,5,19900,2025-05-15,99500
TRX0000154,C04060,T013,P00030,4,17700,2023-12-31,70800
TRX0000155,C01397,T012,P00013,4,181900,2024-10-19,727600
TRX0000156,C00928,T011,P00214,3,167200,2023-11-30,501600
TRX0000157,C02047,T018,P00135,5,89200,2024-12-03,446000
TRX0000158,C00966,T010,P00016,3,231400,2024-05-15,694200
TRX0000159,C02451,T016,P00253,1,160700,2025-05-12,160700
TRX0000160,C02405,T009,P00283,4,116200,2025-01-18,464800
TRX0000161,C01746,T001,P00225,5,126300,2023-10-09,631500
TRX0000162,C04660,T013,P00013,4,181900,2025-05-05,727600
TRX0000163,C01782,T010,P00200,1,328400,2025-07-04,328400
TRX0000164,C04224,T002,P00169,2,266900,2024-01-03,533800
TRX0000165,C03794,T020,P00090,3,338200,2025-03-29,1014600
TRX0000166,C04000,T002,P00133,1,279900,2024-10-18,279900
TRX0000167,C02915,T001,P00020,3,195700,2025-04-23,587100
TRX0000168,C03772,T011,P00114,4,403900,2023-12-21,1615600
TRX0000169,C02445,T012,P00090,2,338200,2024-08-05,676400
TRX0000170,C00878,T001,P00186,4,37000,2025-03-27,148000
TRX0000171,C02865,T024,P00041,3,384400,2024-02-28,1153200
TRX0000172,C01526,T013,P00090,1,338200,2024-03-03,338200
TRX0000173,C02905,T001,P00062,3,64200,2025-07-11,192600
TRX0000174,C00831,T014,P00125,1,417800,2024-05-31,417800
TRX0000175,C04031,T007,P00091,1,155600,2024-12-05,155600
TRX0000176,C00695,T017,P00199,4,261200,2024-05-27,1044800
TRX0000177,C04214,T005,P00117,4,234800,2025-08-09,939200
TRX0000178,C03365,T004,P00233,4,249200,2024-09-02,996800
TRX0000179,C03993,T001,P00034,5,39100,2025-07-05,195500
TRX0000180,C01275,T025,P00252,5,141900,2023-11-01,709500
TRX0000181,C02050,T008,P00025,1,168100,2024-09-28,168100
TRX0000182,C03856,T013,P00103,4,165100,2024-11-12,660400
TRX0000183,C03067,T010,P00221,1,36300,2025-01-12,36300
TRX0000184,C02986,T014,P00153,1,312400,2025-07-23,312400
TRX0000185,C01493,T018,P00300,3,79300,2024-04-05,237900
TRX0000186,C02208,T004,P00091,2,155600,2025-04-08,311200
TRX0000187,C03593,T022,P00106,3,230100,2025-02-25,690300
TRX0000188,C03600,T006,P00268,2,248400,2025-02-01,496800
TRX0000189,C01146,T012,P00236,3,13200,2024-01-13,39600
TRX0000190,C03556,T001,P00176,4,178500,2024-03-21,714000
TRX0000191,C02943,T023,P00002,5,320500,2024-09-12,1602500
TRX0000192,C01626,T004,P00273,5,257500,2025-06-30,1287500
TRX0000193,C01553,T010,P00250,2,188700,2025-02-25,377400
TRX0000194,C00330,T005,P00288,1,367600,2024-10-30,367600
TRX0000195,C03233,T014,P00096,1,33900,2023-12-26,33900
TRX0000196,C02714,T002,P00237,4,20000,2024-08-29,80000
TRX0000197,C01314,T022,P00045,3,278800,2025-09-26,836400
TRX0000198,C01631,T016,P00086,2,155700,2025-03-09,311400
TRX0000199,C02178,T004,P00085,5,20100,2024-03-03,100500
TRX0000200,C03450,T016,P00190,4,270600,2025-07-20,1082400
TRX0000201,C04507,T016,P00026,4,282900,2024-02-02,1131600
TRX0000202,C01044,T011,P00258,3,18300,2023-12-19,54900
TRX0000203,C03276,T017,P00198,2,115600,2025-07-17,231200
TRX0000204,C03186,T005,P00228,5,43500,2025-05-14,217500
TRX0000205,C00899,T004,P00035,1,21300,2024-02-05,21300
TRX0000206,C00174,T005,P00055,2,56000,2024-05-29,112000
TRX0000207,C01275,T012,P00213,5,14200,2024-11-06,71000
TRX0000208,C04097,T001,P00138,5,104000,2025-06-10,520000
TRX0000209,C01938,T002,P00259,2,145400,2024-05-03,290800
TRX0000210,C02803,T014,P00083,4,36900,2024-01-12,147600
TRX0000211,C04892,T024,P00085,4,20100,2023-10-29,80400
TRX0000212,C00066,T014,P00138,3,104000,2025-08-17,312000
TRX0000213,C03934,T010,P00272,1,78800,2025-04-02,78800
TRX0000214,C02312,T016,P00037,4,8200,2025-03-26,32800
TRX0000215,C00677,T025,P00214,4,167200,2025-02-06,668800
TRX0000216,C03514,T008,P00227,1,109700,2024-06-03,109700
TRX0000217,C01250,T024,P00227,1,109700,2023-10-24,109700
TRX0000218,C04189,T006,P00165,4,101800,2024-09-19,407200
TRX0000219,C02044,T009,P00149,1,336600,2025-06-04,336600
TRX0000220,C00943,T009,P00048,3,344600,2023-11-13,1033800
TRX0000221,C02027,T022,P00061,2,228100,2024-06-15,456200
TRX0000222,C03516,T007,P00206,5,88000,2024-02-13,440000
TRX0000223,C03883,T023,P00119,3,102500,2024-05-31,307500
TRX0000224,C00845,T023,P00039,1,327600,2024-02-24,327600
TRX0000225,C04116,T020,P00061,3,228100,2023-10-29,684300
TRX0000226,C01485,T007,P00211,5,244800,2025-06-20,1224000
TRX0000227,C04844,T021,P00295,3,28700,2024-01-08,86100
TRX0000228,C01219,T008,P00033,5,123500,2023-11-16,617500
TRX0000229,C00987,T005,P00136,5,358200,2025-06-30,1791000
TRX0000230,C03288,T002,P00123,1,10300,2025-05-09,10300
TRX0000231,C02244,T007,P00202,4,209300,2025-08-20,837200
TRX0000232,C01198,T014,P00226,4,309000,2024-07-31,1236000
TRX0000233,C00145,T020,P00120,5,130200,2024-09-13,651000
TRX0000234,C01636,T003,P00098,1,110000,2024-06-26,110000
TRX0000235,C00418,T013,P00082,1,150600,2025-01-05,150600
TRX0000236,C03337,T017,P00106,4,230100,2023-11-15,920400
TRX0000237,C02511,T023,P00271,5,313300,2024-04-30,1566500
TRX0000238,C01896,T008,P00061,1,228100,2025-07-01,228100
TRX0000239,C02754,T014,P00143,2,131200,2024-03-05,262400
TRX0000240,C03926,T002,P00042,2,88200,2025-01-04,176400
TRX0000241,C04177,T014,P00158,5,187200,2025-04-10,936000
TRX0000242,C00424,T010,P00111,2,167300,2023-11-17,334600
TRX0000243,C00902,T009,P00277,1,202600,2025-04-10,202600
TRX0000244,C02979,T009,P00063,4,52100,2025-02-02,208400
TRX0000245,C02876,T023,P00254,4,286500,2024-06-05,1146000
TRX0000246,C03425,T008,P00021,4,59400,2024-04-20,237600
TRX0000247,C02621,T002,P00196,3,254900,2025-06-28,764700
TRX0000248,C01489,T002,P00149,2,336600,2024-04-01,673200
TRX0000249,C00005,T002,P00122,4,179100,2025-05-09,716400
TRX0000250,C02635,T007,P00078,5,279900,2025-02-06,1399500
TRX0000251,C02338,T016,P00045,2,278800,2023-12-17,557600
TRX0000252,C02296,T020,P00028,1,206800,2025-01-11,206800
TRX0000253,C00826,T014,P00146,2,17500,2024-09-21,35000
TRX0000254,C01515,T009,P00177,3,185400,2024-09-17,556200
TRX0000255,C04025,T012,P00136,2,358200,2023-11-24,716400
TRX0000256,C02739,T010,P00131,5,267600,2025-04-05,1338000
TRX0000257,C00914,T004,P00161,2,166000,2024-09-21,332000
TRX0000258,C00112,T022,P00162,4,229900,2025-06-16,919600
TRX0000259,C04521,T025,P00096,5,33900,2025-04-27,169500
TRX0000260,C01068,T011,P00079,5,148700,2024-11-21,743500
TRX0000261,C02954,T024,P00211,1,244800,2025-06-21,244800
TRX0000262,C02961,T024,P00203,4,89300,2025-03-30,357200
TRX0000263,C04825,T017,P00181,2,93200,2024-03-15,186400
TRX0000264,C04954,T012,P00218,5,30700,2025-05-06,153500
TRX0000265,C01952,T021,P00037,2,8200,2024-04-13,16400
TRX0000266,C02261,T007,P00176,1,178500,2025-04-26,178500
TRX0000267,C04787,T013,P00016,5,231400,2024-04-12,1157000
TRX0000268,C00715,T004,P00178,4,23600,2024-01-26,94400
TRX0000269,C01069,T021,P00081,3,86800,2024-12-19,260400
TRX0000270,C04931,T004,P00091,2,155600,2024-06-05,311200
TRX0000271,C00337,T019,P00146,5,17500,2024-02-18,87500
TRX0000272,C01561,T007,P00152,2,125000,2025-04-29,250000
TRX0000273,C03652,T004,P00145,5,55800,2024-02-21,279000
TRX0000274,C00614,T018,P00069,5,103800,2024-08-06,519000
TRX0000275,C02810,T010,P00251,4,310800,2025-07-24,1243200
TRX0000276,C03885,T025,P00066,4,84400,2023-10-25,337600
TRX0000277,C01655,T018,P00010,1,173000,2025-03-19,173000
TRX0000278,C01259,T002,P00078,4,279900,2025-07-15,1119600
TRX0000279,C01048,T007,P00243,3,234000,2025-08-19,702000
TRX0000280,C03426,T018,P00065,3,8300,2024-10-10,24900
TRX0000281,C02069,T025,P00195,2,182400,2024-11-23,364800
TRX0000282,C04591,T012,P00132,4,50600,2025-08-02,202400
TRX0000283,C02999,T015,P00269,4,164100,2024-03-09,656400
TRX0000284,C00962,T014,P00112,5,39700,2024-05-04,198500
TRX0000285,C00555,T016,P00294,3,34100,2025-01-14,102300
TRX0000286,C03433,T017,P00266,2,326500,2024-12-21,653000
TRX0000287,C04128,T001,P00244,1,22900,2024-02-13,22900
TRX0000288,C01368,T020,P00121,2,379500,2024-05-10,759000
TRX0000289,C02246,T023,P00135,1,89200,2025-07-08,89200
TRX0000290,C01057,T010,P00122,5,179100,2023-12-17,895500
TRX0000291,C00373,T019,P00296,4,29600,2024-12-19,118400
TRX0000292,C00499,T023,P00057,1,259700,2024-11-20,259700
TRX0000293,C01559,T024,P00038,4,156300,2025-01-04,625200
TRX0000294,C03257,T016,P00164,1,168500,2024-01-10,168500
TRX0000295,C04362,T017,P00018,1,379000,2025-06-09,379000
TRX0000296,C00615,T006,P00126,1,114700,2024-11-01,114700
TRX0000297,C03587,T025,P00278,5,288900,2025-05-13,1444500
TRX0000298,C04173,T013,P00067,2,52900,2025-07-24,105800
TRX0000299,C04608,T025,P00184,1,329900,2023-10-25,329900
TRX0000300,C03197,T013,P00110,2,257200,2024-09-18,514400
TRX0000301,C04975,T009,P00233,1,249200,2025-02-08,249200
TRX0000302,C01696,T006,P00251,1,310800,2024-12-27,310800
TRX0000303,C00030,T006,P00163,1,376600,2024-01-09,376600
TRX0000304,C04685,T007,P00281,2,268800,2024-06-25,537600
TRX0000305,C04851,T023,P00174,1,141500,2025-04-30,141500
TRX0000306,C00073,T017,P00029,4,41800,2025-06-16,167200
TRX0000307,C03731,T017,P00276,2,212800,2024-08-17,425600
TRX0000308,C04302,T009,P00171,4,148000,2025-01-05,592000
TRX0000309,C02486,T008,P00156,4,191900,2025-07-16,767600
TRX0000310,C02428,T023,P00221,3,36300,2025-02-23,108900
TRX0000311,C02200,T018,P00224,4,264300,2023-12-13,1057200
TRX0000312,C00976,T006,P00258,1,18300,2024-05-20,18300
TRX0000313,C01835,T002,P00114,3,403900,2023-11-27,1211700
TRX0000314,C04371,T008,P00042,4,88200,2023-11-23,352800
TRX0000315,C02391,T002,P00220,1,307600,2024-11-30,307600
TRX0000316,C01214,T009,P00096,1,33900,2024-04-18,33900
TRX0000317,C01090,T009,P00085,5,20100,2024-08-13,100500
TRX0000318,C00423,T021,P00256,5,238500,2025-01-16,1192500
TRX0000319,C02040,T007,P00127,1,232500,2025-04-29,232500
TRX0000320,C04380,T004,P00099,3,295500,2024-01-29,886500
TRX0000321,C00012,T021,P00293,3,168100,2025-03-21,504300
TRX0000322,C02847,T021,P00202,4,209300,2025-05-27,837200
TRX0000323,C04958,T012,P00103,4,165100,2023-12-25,660400
TRX0000324,C02659,T003,P00019,1,111500,2025-07-12,111500
TRX0000325,C04500,T009,P00145,1,55800,2025-05-31,55800
TRX0000326,C01095,T014,P00276,2,212800,2024-07-06,425600
TRX0000327,C02416,T011,P00014,1,56400,2024-04-22,56400
TRX0000328,C00470,T021,P00023,2,60800,2025-04-15,121600
TRX0000329,C00086,T012,P00271,1,313300,2024-07-21,313300
TRX0000330,C01797,T024,P00252,4,141900,2025-05-28,567600
TRX0000331,C02292,T006,P00145,4,55800,2024-11-22,223200
TRX0000332,C02098,T001,P00206,4,88000,2024-02-01,352000
TRX0000333,C04403,T022,P00086,3,155700,2023-10-28,467100
TRX0000334,C04779,T004,P00119,2,102500,2024-07-23,205000
TRX0000335,C03130,T021,P00190,2,270600,2025-06-23,541200
TRX0000336,C02109,T021,P00005,5,232600,2024-10-10,1163000
TRX0000337,C04951,T018,P00077,5,59200,2025-05-31,296000
TRX0000338,C01689,T015,P00096,1,33900,2024-10-16,33900
TRX0000339,C01808,T011,P00061,1,228100,2024-01-04,228100
TRX0000340,C02202,T007,P00052,4,117700,2024-03-24,470800
TRX0000341,C04765,T021,P00262,3,409700,2024-06-16,1229100
TRX0000342,C03240,T005,P00100,3,314500,2025-05-29,943500
TRX0000343,C03655,T008,P00268,3,248400,2024-09-13,745200
TRX0000344,C03555,T012,P00256,3,238500,2025-08-08,715500
TRX0000345,C01216,T016,P00271,3,313300,2025-01-19,939900
TRX0000346,C00768,T016,P00285,4,351000,2024-03-09,1404000
TRX0000347,C01487,T015,P00010,5,173000,2025-04-01,865000
TRX0000348,C01516,T006,P00105,4,6200,2024-09-27,24800
TRX0000349,C01548,T019,P00183,3,423900,2024-02-28,1271700
TRX0000350,C04019,T024,P00121,1,379500,2024-01-19,379500
TRX0000351,C01478,T021,P00041,3,384400,2024-10-08,1153200
TRX0000352,C02311,T001,P00107,3,236800,2023-12-19,710400
TRX0000353,C02541,T006,P00097,1,367700,2024-05-13,367700
TRX0000354,C01456,T013,P00166,5,132100,2024-03-16,660500
TRX0000355,C04980,T007,P00182,4,99800,2024-02-03,399200
TRX0000356,C00569,T005,P00267,4,393600,2025-09-07,1574400
TRX0000357,C00591,T014,P00034,3,39100,2023-11-04,117300
TRX0000358,C02010,T015,P00110,3,257200,2024-02-05,771600
TRX0000359,C03298,T004,P00173,3,141400,2025-02-07,424200
TRX0000360,C04316,T005,P00018,3,379000,2025-06-14,1137000
TRX0000361,C00097,T020,P00031,4,157000,2025-02-15,628000
TRX0000362,C00817,T013,P00291,2,141200,2024-12-02,282400
TRX0000363,C03146,T001,P00251,1,310800,2024-11-07,310800
TRX0000364,C00902,T001,P00158,2,187200,2025-07-29,374400
TRX0000365,C00359,T005,P00059,3,198900,2025-04-21,596700
TRX0000366,C02035,T025,P00179,5,12500,2023-10-11,62500
TRX0000367,C00685,T009,P00248,5,141100,2024-10-13,705500
TRX0000368,C01169,T021,P00277,1,202600,2025-06-10,202600
TRX0000369,C04913,T001,P00017,5,19300,2025-01-20,96500
TRX0000370,C00077,T004,P00060,2,251600,2024-07-07,503200
TRX0000371,C04444,T024,P00104,5,30800,2025-05-11,154000
TRX0000372,C02773,T023,P00211,5,244800,2024-06-04,1224000
TRX0000373,C00697,T007,P00169,2,266900,2023-10-28,533800
TRX0000374,C01141,T016,P00178,3,23600,2024-10-05,70800
TRX0000375,C04611,T015,P00035,1,21300,2024-06-28,21300
TRX0000376,C01337,T010,P00093,3,75800,2024-11-29,227400
TRX0000377,C02718,T016,P00235,2,52600,2024-04-12,105200
TRX0000378,C01266,T008,P00083,2,36900,2024-01-02,73800
TRX0000379,C00458,T018,P00141,1,222700,2024-02-23,222700
TRX0000380,C02192,T021,P00053,4,300900,2024-06-22,1203600
TRX0000381,C04454,T004,P00103,1,165100,2024-08-15,165100
TRX0000382,C00174,T002,P00178,2,23600,2024-08-10,47200
TRX0000383,C00843,T018,P00232,5,314500,2024-02-20,1572500
TRX0000384,C02431,T004,P00011,2,136600,2025-07-26,273200
TRX0000385,C04191,T014,P00258,1,18300,2025-02-14,18300
TRX0000386,C01162,T001,P00032,3,324200,2024-01-16,972600
TRX0000387,C01838,T001,P00002,3,320500,2024-06-26,961500
TRX0000388,C01857,T014,P00022,5,12900,2024-07-04,64500
TRX0000389,C03158,T005,P00068,4,222200,2025-01-03,888800
TRX0000390,C02895,T021,P00049,3,228800,2024-07-25,686400
TRX0000391,C02350,T008,P00105,2,6200,2024-08-09,12400
TRX0000392,C03152,T022,P00076,2,318500,2024-01-31,637000
TRX0000393,C00921,T016,P00254,3,286500,2024-06-26,859500
TRX0000394,C01390,T004,P00038,2,156300,2023-09-30,312600
TRX0000395,C01840,T004,P00136,4,358200,2024-03-02,1432800
TRX0000396,C02309,T012,P00233,1,249200,2024-08-07,249200
TRX0000397,C00625,T020,P00215,2,102100,2024-04-26,204200
TRX0000398,C02734,T004,P00162,5,229900,2024-03-18,1149500
TRX0000399,C02954,T003,P00298,5,274300,2024-09-28,1371500
TRX0000400,C00356,T020,P00206,3,88000,2025-03-23,264000
TRX0000401,C01238,T006,P00225,3,126300,2024-12-01,378900
TRX0000402,C03512,T017,P00299,1,231900,2024-04-26,231900
TRX0000403,C02744,T020,P00159,5,135600,2025-09-26,678000
TRX0000404,C01486,T022,P00135,3,89200,2023-12-17,267600
TRX0000405,C03484,T005,P00235,1,52600,2024-06-06,52600
TRX0000406,C02471,T020,P00056,3,63200,2024-12-17,189600
TRX0000407,C02352,T012,P00250,3,188700,2023-11-20,566100
TRX0000408,C00852,T009,P00122,4,179100,2023-10-14,716400
TRX0000409,C04090,T022,P00251,1,310800,2024-09-05,310800
TRX0000410,C03024,T009,P00113,2,76600,2024-03-31,153200
TRX0000411,C00626,T001,P00109,1,140200,2024-02-06,140200
TRX0000412,C01218,T025,P00079,2,148700,2025-01-31,297400
TRX0000413,C01201,T011,P00185,3,54500,2023-11-29,163500
TRX0000414,C01211,T013,P00265,3,29700,2024-02-29,89100
TRX0000415,C03660,T024,P00096,3,33900,2025-06-26,101700
TRX0000416,C03920,T003,P00145,5,55800,2023-12-11,279000
TRX0000417,C00928,T019,P00300,2,79300,2024-12-12,158600
TRX0000418,C03502,T024,P00157,2,13100,2024-01-05,26200
TRX0000419,C02282,T005,P00045,3,278800,2024-06-07,836400
